Tipo: ASIGNACION	Lexema: entrega	Linea: 32	Columna:23
Tipo: IDENTIFICADOR	Lexema: _guau_	Linea: 32	Columna:31
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 32	Columna:38
Tipo: INTEGER	Lexema: rodolfo	Linea: 35	Columna:8
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 35	Columna:16
Tipo: ASIGNACION	Lexema: entrega	Linea: 35	Columna:24
Tipo: LIT_INTEGER	Lexema: 3	Linea: 35	Columna:32
Tipo: INCREMENTO	Lexema: quien	Linea: 35	Columna:34
Tipo: SUMA	Lexema: navidad	Linea: 35	Columna:40
Tipo: LIT_INTEGER	Lexema: 4	Linea: 35	Columna:48
Tipo: DECREMENTO	Lexema: grinch	Linea: 35	Columna:50
Tipo: MULTIPLICACION	Lexema: nochebuena	Linea: 35	Columna:57
Tipo: LIT_INTEGER	Lexema: 93	Linea: 35	Columna:68
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 35	Columna:71
Tipo: FLOAT	Lexema: bromista	Linea: 36	Columna:8
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 36	Columna:17
Tipo: ASIGNACION	Lexema: entrega	Linea: 36	Columna:25
Tipo: LIT_INTEGER	Lexema: 4	Linea: 36	Columna:33
Tipo: DECREMENTO	Lexema: grinch	Linea: 36	Columna:35
Tipo: MULTIPLICACION	Lexema: nochebuena	Linea: 36	Columna:42
Tipo: LIT_FLOAT	Lexema: 1.5	Linea: 36	Columna:53
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 36	Columna:57
Tipo: BOOL	Lexema: trueno	Linea: 37	Columna:8
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 37	Columna:16
Tipo: ASIGNACION	Lexema: entrega	Linea: 37	Columna:24
Tipo: PARENTESIS_A	Lexema: abreregalo	Linea: 37	Columna:32
Tipo: LIT_INTEGER	Lexema: 4	Linea: 37	Columna:43
Tipo: PARENTESIS_C	Lexema: cierraregalo	Linea: 37	Columna:45
Tipo: IGUALDAD	Lexema: mary	Linea: 37	Columna:58
Tipo: LIT_FLOAT	Lexema: 3.1	Linea: 37	Columna:63
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 37	Columna:67
Tipo: CHAR	Lexema: cupido	Linea: 38	Columna:8
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 38	Columna:15
Tipo: ASIGNACION	Lexema: entrega	Linea: 38	Columna:23
Tipo: IDENTIFICADOR	Lexema: _guau_	Linea: 38	Columna:31
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 38	Columna:38
Tipo: STRING	Lexema: cometa	Linea: 39	Columna:8
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 39	Columna:15
Tipo: ASIGNACION	Lexema: entrega	Linea: 39	Columna:23
Tipo: LIT_BOOL	Lexema: true	Linea: 39	Columna:31
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 39	Columna:36
Tipo: STRING	Lexema: cometa	Linea: 42	Columna:8
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 42	Columna:15
Tipo: ASIGNACION	Lexema: entrega	Linea: 42	Columna:23
Tipo: READ	Lexema: escucha	Linea: 42	Columna:31
Tipo: PARENTESIS_A	Lexema: abreregalo	Linea: 42	Columna:39
Tipo: PARENTESIS_C	Lexema: cierraregalo	Linea: 42	Columna:50
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 42	Columna:63
Tipo: INTEGER	Lexema: rodolfo	Linea: 45	Columna:8
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 45	Columna:16
Tipo: CORCHETE_A	Lexema: abreempaque	Linea: 45	Columna:24
Tipo: LIT_INTEGER	Lexema: 3	Linea: 45	Columna:36
Tipo: CORCHETE_C	Lexema: cierraempaque	Linea: 45	Columna:38
Tipo: ASIGNACION	Lexema: entrega	Linea: 45	Columna:52
Tipo: CORCHETE_A	Lexema: abreempaque	Linea: 45	Columna:60
Tipo: LIT_INTEGER	Lexema: 1	Linea: 45	Columna:72
Tipo: COMA	Lexema: ,	Linea: 45	Columna:73
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 45	Columna:75
Tipo: COMA	Lexema: ,	Linea: 45	Columna:82
Tipo: LIT_INTEGER	Lexema: 3	Linea: 45	Columna:84
Tipo: CORCHETE_C	Lexema: cierraempaque	Linea: 45	Columna:86
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 45	Columna:100
Tipo: CHAR	Lexema: cupido	Linea: 46	Columna:8
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 46	Columna:15
Tipo: CORCHETE_A	Lexema: abreempaque	Linea: 46	Columna:23
Tipo: LIT_INTEGER	Lexema: 5	Linea: 46	Columna:35
Tipo: CORCHETE_C	Lexema: cierraempaque	Linea: 46	Columna:37
Tipo: ASIGNACION	Lexema: entrega	Linea: 46	Columna:51
Tipo: CORCHETE_A	Lexema: abreempaque	Linea: 46	Columna:59
Tipo: LIT_CHAR	Lexema: 'a'	Linea: 46	Columna:71
Tipo: COMA	Lexema: ,	Linea: 46	Columna:74
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 46	Columna:76
Tipo: COMA	Lexema: ,	Linea: 46	Columna:83
Tipo: LIT_CHAR	Lexema: 'c'	Linea: 46	Columna:85
Tipo: COMA	Lexema: ,	Linea: 46	Columna:88
Tipo: LIT_CHAR	Lexema: 'd'	Linea: 46	Columna:90
Tipo: COMA	Lexema: ,	Linea: 46	Columna:93
Tipo: LIT_CHAR	Lexema: 'e'	Linea: 46	Columna:95
